launcher,rocket,frame,seconds
1,1,49,2.0
1,2,55,2.25
1,3,61,2.5
1,4,67,2.75
1,5,73,3.0
1,6,79,3.25
1,7,85,3.5
1,8,91,3.75
1,9,97,4.0
1,10,103,4.25
1,11,109,4.5
1,12,115,4.75
1,13,121,5.0
1,14,127,5.25
1,15,133,5.5
1,16,139,5.75
1,17,145,6.0
1,18,151,6.25
1,19,157,6.5
1,20,163,6.75
1,21,169,7.0
1,22,175,7.25
1,23,181,7.5
1,24,187,7.75
2,1,50,2.0416666666666665
2,2,56,2.2916666666666665
2,3,62,2.5416666666666665
2,4,68,2.7916666666666665
2,5,74,3.0416666666666665
2,6,80,3.2916666666666665
2,7,86,3.5416666666666665
2,8,92,3.7916666666666665
2,9,98,4.041666666666667
2,10,104,4.291666666666667
2,11,110,4.541666666666667
2,12,116,4.791666666666667
2,13,122,5.041666666666667
2,14,128,5.291666666666667
2,15,134,5.541666666666667
2,16,140,5.791666666666667
2,17,146,6.041666666666667
2,18,152,6.291666666666667
2,19,158,6.541666666666667
2,20,164,6.791666666666667
2,21,170,7.041666666666667
2,22,176,7.291666666666667
2,23,182,7.541666666666667
2,24,188,7.791666666666667
3,1,50,2.0416666666666665
3,2,56,2.2916666666666665
3,3,62,2.5416666666666665
3,4,68,2.7916666666666665
3,5,74,3.0416666666666665
3,6,80,3.2916666666666665
3,7,86,3.5416666666666665
3,8,92,3.7916666666666665
3,9,98,4.041666666666667
3,10,104,4.291666666666667
3,11,110,4.541666666666667
3,12,116,4.791666666666667
3,13,122,5.041666666666667
3,14,128,5.291666666666667
3,15,134,5.541666666666667
3,16,140,5.791666666666667
3,17,146,6.041666666666667
3,18,152,6.291666666666667
3,19,158,6.541666666666667
3,20,164,6.791666666666667
3,21,170,7.041666666666667
3,22,176,7.291666666666667
3,23,182,7.541666666666667
3,24,188,7.791666666666667
4,1,50,2.0416666666666665
4,2,56,2.2916666666666665
4,3,62,2.5416666666666665
4,4,68,2.7916666666666665
4,5,74,3.0416666666666665
4,6,80,3.2916666666666665
4,7,86,3.5416666666666665
4,8,92,3.7916666666666665
4,9,98,4.041666666666667
4,10,104,4.291666666666667
4,11,110,4.541666666666667
4,12,116,4.791666666666667
4,13,122,5.041666666666667
4,14,128,5.291666666666667
4,15,134,5.541666666666667
4,16,140,5.791666666666667
4,17,146,6.041666666666667
4,18,152,6.291666666666667
4,19,158,6.541666666666667
4,20,164,6.791666666666667
4,21,170,7.041666666666667
4,22,176,7.291666666666667
4,23,182,7.541666666666667
4,24,188,7.791666666666667
5,1,52,2.125
5,2,58,2.375
5,3,64,2.625
5,4,70,2.875
5,5,76,3.125
5,6,82,3.375
5,7,88,3.625
5,8,94,3.875
5,9,100,4.125
5,10,106,4.375
5,11,112,4.625
5,12,118,4.875
5,13,124,5.125
5,14,130,5.375
5,15,136,5.625
5,16,142,5.875
5,17,148,6.125
5,18,154,6.375
5,19,160,6.625
5,20,166,6.875
5,21,172,7.125
5,22,178,7.375
5,23,184,7.625
5,24,190,7.875
6,1,52,2.125
6,2,58,2.375
6,3,64,2.625
6,4,70,2.875
6,5,76,3.125
6,6,82,3.375
6,7,88,3.625
6,8,94,3.875
6,9,100,4.125
